id,season_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,prev_total_points,prev_minutes,prev_goals_scored,prev_assists,prev_clean_sheets,prev_goals_conceded,prev_own_goals,prev_penalties_saved,prev_penalties_missed,prev_yellow_cards,prev_red_cards,prev_saves,prev_bonus,prev_bps,prev_influence,prev_creativity,prev_threat,prev_ict_index,prev_expected_goals,prev_expected_assists,prev_expected_goal_involvements,avg2_total_points,avg2_goals_scored,avg2_assists,avg2_minutes,avg2_clean_sheets,avg2_saves,avg2_goals_conceded,seasons_played,full_name,position,team_name
57,2024/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1986.0,0.0,0.0,5.0,38.0,0.0,0.0,0.0,2.0,0.0,75.0,5.0,414.0,567.8,0.0,0.0,56.8,0.0,0.0,0.0,51.0,1.0,2.0,1790.0,3.0,0.0,39.0,1,Đorđe Petrović,Goalkeeper,Bournemouth
57,2025/26,124,3420,0,0,11,54,1,0,0,3,0,109,5,512,822.6,0.0,0.0,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,2.0,3.0,2391.0,5.0,0.0,43.0,2,Đorđe Petrović,Goalkeeper,Bournemouth
58,2007/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,71.0,0.5,2.5,1515.0,6.5,0.0,14.5,0,Fraser Forster,Goalkeeper,Bournemouth
58,2008/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.5,1.5,5.0,2031.0,10.0,0.0,16.5,1,Fraser Forster,Goalkeeper,Bournemouth
58,2011/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.5,1.0,3.5,2080.0,9.0,0.0,23.0,2,Fraser Forster,Goalkeeper,Bournemouth
58,2014/15,118,2623,0,0,13,21,0,0,0,1,0,61,0,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,0.0,0.0,1633.5,5.0,0.0,22.5,3,Fraser Forster,Goalkeeper,Bournemouth
58,2015/16,68,1620,0,0,6,17,0,0,0,0,0,52,3,310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,2623.0,0.0,0.0,13.0,21.0,0.0,0.0,0.0,1.0,0.0,61.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.0,1.0,1385.0,4.0,0.0,17.5,4,Fraser Forster,Goalkeeper,Bournemouth
58,2016/17,134,3420,0,0,14,48,0,1,0,3,0,76,4,625,553.6,10.0,0.0,56.4,0.0,0.0,0.0,68.0,1620.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5,0.5,2.0,1938.5,8.0,0.0,23.0,5,Fraser Forster,Goalkeeper,Bournemouth
58,2017/18,73,1800,0,0,4,30,0,1,0,0,0,69,6,351,488.2,0.0,0.0,48.9,0.0,0.0,0.0,134.0,3420.0,0.0,0.0,14.0,48.0,0.0,1.0,0.0,3.0,0.0,76.0,4.0,625.0,553.6,10.0,0.0,56.4,0.0,0.0,0.0,102.0,1.5,2.5,2410.5,10.5,0.0,31.5,6,Fraser Forster,Goalkeeper,Bournemouth
58,2018/19,2,90,0,0,0,3,0,0,0,0,0,3,0,13,22.2,0.0,0.0,2.2,0.0,0.0,0.0,73.0,1800.0,0.0,0.0,4.0,30.0,0.0,1.0,0.0,0.0,0.0,69.0,6.0,351.0,488.2,0.0,0.0,48.9,0.0,0.0,0.0,66.5,1.5,2.5,1684.5,5.0,0.0,27.0,7,Fraser Forster,Goalkeeper,Bournemouth
