player_id,name,current_club_name,position,sub_position,market_value_in_eur,highest_market_value_in_eur
493003,Daniel Muñoz,Crystal Palace,Defender,Right-Back,22000000.0,27000000.0
494237,Wilson Isidor,Sunderland AFC,Attack,Centre-Forward,18000000.0,18000000.0
494880,Jorge Cuenca,Fulham FC,Defender,Centre-Back,8000000.0,8000000.0
495666,William Saliba,Arsenal FC,Defender,Centre-Back,100000000.0,100000000.0
496659,Ben Cabango,Swansea City,Defender,Centre-Back,9000000.0,13000000.0
497291,Nicolás Domínguez,Nottingham Forest,Midfield,Central Midfield,15000000.0,18000000.0
500689,Evann Guessand,Crystal Palace,Attack,Right Winger,25000000.0,30000000.0
501743,Koki Saito,Queens Park Rangers,Attack,Left Winger,3200000.0,4000000.0
502676,Giorgi Mamardashvili,Liverpool FC,Goalkeeper,Goalkeeper,28000000.0,45000000.0
502821,Riccardo Calafiori,Arsenal FC,Defender,Left-Back,55000000.0,55000000.0
503679,Rhys Williams,Liverpool FC,Defender,Centre-Back,500000.0,5000000.0
503680,Neco Williams,Nottingham Forest,Defender,Left-Back,28000000.0,28000000.0
503686,Dan Ballard,Sunderland AFC,Defender,Centre-Back,20000000.0,20000000.0
503733,Anthony Gordon,Newcastle United,Attack,Left Winger,65000000.0,65000000.0
503743,Morgan Rogers,Aston Villa,Midfield,Attacking Midfield,90000000.0,90000000.0
503749,Jacob Ramsey,Newcastle United,Midfield,Central Midfield,35000000.0,42000000.0
503765,James Hillson,Chelsea FC,Goalkeeper,Goalkeeper,,
503795,Jeremy Ngakia,Watford FC,Defender,Right-Back,2200000.0,4000000.0
503981,Tino Livramento,Newcastle United,Defender,Right-Back,45000000.0,45000000.0
503987,Noni Madueke,Arsenal FC,Attack,Right Winger,50000000.0,50000000.0
504849,Kaoru Mitoma,Brighton & Hove Albion,Attack,Left Winger,22000000.0,50000000.0
505219,James Garner,Everton FC,Midfield,Defensive Midfield,45000000.0,45000000.0
506942,Zan Vipotnik,Swansea City,Attack,Centre-Forward,22000000.0,22000000.0
513968,Aidan Morris,Middlesbrough FC,Midfield,Central Midfield,10000000.0,10000000.0
513970,Julián Araujo,AFC Bournemouth,Defender,Right-Back,8000000.0,10000000.0
514285,Quilindschy Hartman,Burnley FC,Defender,Left-Back,16000000.0,23000000.0
515544,Trai Hume,Sunderland AFC,Defender,Right-Back,22000000.0,22000000.0
517894,Matheus Cunha,Manchester United,Attack,Centre-Forward,75000000.0,75000000.0
518644,Largie Ramazani,Leeds United,Attack,Left Winger,8000000.0,10000000.0
520624,Bruno Guimarães,Newcastle United,Midfield,Central Midfield,70000000.0,85000000.0
521964,Malick Thiaw,Newcastle United,Defender,Centre-Back,45000000.0,45000000.0
522784,Taty Castellanos,West Ham United,Attack,Centre-Forward,28000000.0,28000000.0
525247,Maximilian Kilman,West Ham United,Defender,Centre-Back,13000000.0,38000000.0
530813,Anis Mehmeti,Ipswich Town,Midfield,Attacking Midfield,,
532776,Amine Adli,AFC Bournemouth,Attack,Left Winger,20000000.0,30000000.0
534033,Alexis Mac Allister,Liverpool FC,Midfield,Central Midfield,70000000.0,100000000.0
536835,Amad Diallo,Manchester United,Attack,Right Winger,45000000.0,50000000.0
537860,Mykhaylo Mudryk,Chelsea FC,Attack,Left Winger,18000000.0,60000000.0
538977,Georginio Rutter,Brighton & Hove Albion,Attack,Centre-Forward,30000000.0,32000000.0
540941,Mikkel Damsgaard,Brentford FC,Midfield,Attacking Midfield,30000000.0,30000000.0
541231,Sepp van den Berg,Brentford FC,Defender,Centre-Back,32000000.0,32000000.0
542586,Illan Meslier,Leeds United,Goalkeeper,Goalkeeper,8000000.0,22000000.0
